Common Name,Family,GenusSpecies,Genus,Category,Wmax,Ymax,Lmax,Lengthmax type,Ym,Lm,Favg,Loffspring,,,,,,,,,,,Region,Sources
Sheperd's beaked whale,Ziphiidae,Tasmacetus shepherdi,Tasmacetus,Cetacea,NA,23,660,TL,NA,NA,1,NA,,,,,,,,,,,NA,"https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=231433, https://doi.org/10.1016/B978-0-12-804327-1.00227-2, https://sealifebase.org/summary/Tasmacetus-shepherdi.html"
Wahoo,Scombridae,Acanthocybium solandri,Acanthocybium,Teleostei,83000,NA,250,TL,1,85.5,1146395,NA,,,,,,,,,,,,
Black oreo,Oreosomatidae,Allocyttus niger,Allocyttus,Teleostei,1500,153,47,TL,NA,34.5,33500,NA,,,,,,,,,,,,
Warty dory,Oreosomatidae,Allocyttus verrucosus,Allocyttus,Teleostei,2000,140,42.5,TL,NA,20.5,NA,NA,,,,,,,,,,,,
Slender tuna,Scombridae,Allothunnus fallai,Allothunnus,Teleostei,13700,NA,105,FL,NA,NA,NA,NA,,,,,,,,,,,,
Spicule anchovy,Engraulidae,Anchoa spinifer,Anchoa,Teleostei,66.30000305,NA,24,TL,NA,NA,NA,NA,,,,,,,,,,,,
Long snouted lancetfish,Alepisauridae,Alepisaurus ferox,Alepisaurus,Teleostei,9000,NA,215,TL,NA,NA,NA,NA,,,,,,,,,,,,
Blueback shad,Alosidae,Alosa aestivalis,Alosa,Teleostei,200,8,40,SL,3,NA,230391.6667,0.430000019,,,,,,,,,,,,
Allis shad,Alosidae,Alosa alosa,Alosa,Teleostei,4000,10,69,TL,3,37.5,312500,NA,,,,,,,,,,,,
Caspian shad,Alosidae,Alosa caspia,Alosa,Teleostei,250,7,32,TL,3,NA,NA,NA,,,,,,,,,,,,
Skipjack shad,Alosidae,Alosa chrysochloris,Alosa,Teleostei,1700,4,50,SL,NA,NA,NA,NA,,,,,,,,,,,,
Twaite shad,Alosidae,Alosa fallax,Alosa,Teleostei,1500,25,60,SL,3,NA,137500,NA,,,,,,,,,,,,
Caspian anadromous shad,Alosidae,Alosa kessleri,Alosa,Teleostei,1200,8,52,SL,3,32,223500,NA,,,,,,,,,,,,
Black sea shad,Alosidae,Alosa maeotica,Alosa,Teleostei,331.7000122,6,33.20000076,TL,2,13,NA,NA,,,,,,,,,,,,
Alewife,Alosidae,Alosa pseudoharengus,Alosa,Teleostei,200,9,40,SL,2.333333333,10.2750001,102800,0.375,,,,,,,,,,,,
American shad,Alosidae,Alosa sapidissima,Alosa,Teleostei,5500,13,76,TL,3.25,34.39999962,265500,0.78499999,,,,,,,,,,,,
Pacific sand lance,Ammodytidae,Ammodytes hexapterus,Ammodytes,Teleostei,100,11,30,TL,1.666666667,11.22000008,8774.5,NA,,,,,,,,,,,,
