Common Name,Family,GenusSpecies,Genus,Wmax,Ymax,Lmax,Lengthmax type,Ym,Lm,Fmin,Fmax,Favg,Tg,Si (year),Loffspring,K,Lat N,Lat S,Region,Additional,Sources
Hector,Ziphiidae,Mesoplodon perrini,Mesoplodon,,,,,,,1,1,1,,,,,,,,,https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=254992
Hector,Ziphiidae,Mesoplodon peruvianus,Mesoplodon,,,,,,,1,1,1,,,,,,,,,https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=231409
Hector,Ziphiidae,Mesoplodon stejnegeri,Mesoplodon,,,,,,,1,1,1,,,,,,,,,https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=254991
Hector,Ziphiidae,Mesoplodon traversii,Mesoplodon,,,,,,,1,1,1,,,,,,,,,https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=254993
Hector,Phocoenidae,Neophocaena asiaeorientalis,Neophocaena,,,,,,,1,1,1,,,,,,,,,https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=446125
Hector,Delphinidae,Orcaella heinsohni,Orcaella,,,,,,,1,1,1,,,,,,,,,https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=343990
Hector,Phocoenidae,Phocoena dioptrica,Phocoena,,,,,,,1,1,1,,,,,,,,,https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=254971
Hector,Phocoenidae,Phocoena sinus,Phocoena,,,,,,,1,1,1,,,,,,,,,https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=343897
Hector,Phocoenidae,Phocoena spinipinnis,Phocoena,,,,,,,1,1,1,,,,,,,,,https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=254987
Hector,Platanistidae,Platanista gangetica,Platanista,,,,,,,1,1,1,,,,,,,,,https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=254966
Hector,Delphinidae,Sotalia fluviatilis,Sotalia,,,,,,,1,1,1,,,,,,,,,https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=254982
Hector,Delphinidae,Sotalia guianensis,Sotalia,,,,,,,1,1,1,,,,,,,,,https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=344009
Hector,Delphinidae,Sousa plumbea,Sousa,,,,,,,1,1,1,,,,,,,,,https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=383586
Hector,Delphinidae,Sousa sahulensis,Sousa,,,,,,,1,1,1,,,,,,,,,https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=816452
Hector,Delphinidae,Sousa teuszii,Sousa,,,,,,,1,1,1,,,,,,,,,https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=254970
Hector,Delphinidae,Stenella attenuata,Stenella,,,,,,,1,1,1,,,,,,,,,https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=137105
Hector,Delphinidae,Stenella clymene,Stenella,,,,,,,1,1,1,,,,,,,,,https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=137106
Hector,Delphinidae,Stenella frontalis,Stenella,,,,,,,1,1,1,,,,,,,,,https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=137108
Hector,Delphinidae,Stenella longirostris,Stenella,,,,,,,1,1,1,,,,,,,,,https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=137109
Hector,Delphinidae,Tursiops aduncus,Tursiops,,,,,,,1,1,1,,,,,,,,,https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=254983
Hector,Delphinidae,Tursiops australis,Tursiops,,,,,,,1,1,1,,,,,,,,,https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=584858
